Frequency (Hz)	Level (dB)
11714.062500 	 -55.870140075683593750
11800.195312 	 -54.969818115234375000
11886.328125 	 -53.655189514160156250
11972.460938 	 -52.170951843261718750
12058.593750 	 -55.782482147216796875
12144.726562 	 -55.207176208496093750
12230.859375 	 -53.035091400146484375
12316.992188 	 -53.819629669189453125
12403.125000 	 -56.348247528076171875
12489.257812 	 -55.008590698242187500
12575.390625 	 -54.628135681152343750
12661.523438 	 -54.290485382080078125
12747.656250 	 -56.676780700683593750
12833.789062 	 -57.482704162597656250
12919.921875 	 -55.574073791503906250
13006.054688 	 -54.158065795898437500
13092.187500 	 -57.517108917236328125
13178.320312 	 -57.275260925292968750
13264.453125 	 -56.131237030029296875
13350.585938 	 -53.909633636474609375
13436.718750 	 -57.709014892578125000
13522.851562 	 -57.300113677978515625
13608.984375 	 -57.389564514160156250
13695.117188 	 -55.196701049804687500
13781.250000 	 -57.858531951904296875
13867.382812 	 -58.017578125000000000
13953.515625 	 -57.605770111083984375
14039.648438 	 -54.906257629394531250
14125.781250 	 -57.742427825927734375
14211.914062 	 -58.564563751220703125
14298.046875 	 -58.654869079589843750
14384.179688 	 -57.835575103759765625
14470.312500 	 -58.255355834960937500
14556.445312 	 -58.410297393798828125
14642.578125 	 -58.454589843750000000
14728.710938 	 -58.286670684814453125
14814.843750 	 -58.716064453125000000
14900.976562 	 -58.657440185546875000
14987.109375 	 -58.810127258300781250
15073.242188 	 -58.023216247558593750
15159.375000 	 -58.239189147949218750
15245.507812 	 -59.009513854980468750
15331.640625 	 -58.376445770263671875
15417.773438 	 -57.547321319580078125
15503.906250 	 -58.362850189208984375
15590.039062 	 -58.885475158691406250
15676.171875 	 -58.743507385253906250
15762.304688 	 -57.501525878906250000
15848.437500 	 -58.015361785888671875
15934.570312 	 -58.694679260253906250
16020.703125 	 -58.889533996582031250
16106.835938 	 -57.107749938964843750
16192.968750 	 -58.981388092041015625
16279.101562 	 -59.203258514404296875
16365.234375 	 -59.366870880126953125
16451.367188 	 -57.625656127929687500
16537.500000 	 -58.665298461914062500
16623.632812 	 -59.268558502197265625
16709.765625 	 -59.206283569335937500
16795.898438 	 -58.540111541748046875
16882.031250 	 -58.717105865478515625
16968.164062 	 -59.299152374267578125
17054.296875 	 -59.328617095947265625
17140.429688 	 -59.012393951416015625
17226.562500 	 -58.875675201416015625
17312.695312 	 -59.423599243164062500
17398.828125 	 -59.472724914550781250
17484.960938 	 -59.287345886230468750
17571.093750 	 -58.577995300292968750
17657.226562 	 -59.475742340087890625
17743.359375 	 -59.671291351318359375
17829.492188 	 -59.421512603759765625
17915.625000 	 -58.835285186767578125
18001.757812 	 -59.414928436279296875
18087.890625 	 -59.671947479248046875
18174.023438 	 -59.643314361572265625
18260.156250 	 -59.199115753173828125
18346.289062 	 -59.444179534912109375
18432.421875 	 -59.575923919677734375
18518.554688 	 -59.333385467529296875
18604.687500 	 -58.367107391357421875
18690.820312 	 -59.507831573486328125
18776.953125 	 -59.671844482421875000
18863.085938 	 -59.467651367187500000
18949.218750 	 -58.832344055175781250
19035.351562 	 -59.661846160888671875
19121.484375 	 -59.614200592041015625
19207.617188 	 -59.144161224365234375
19293.750000 	 -59.260627746582031250
19379.882812 	 -59.834167480468750000
19466.015625 	 -59.855567932128906250
19552.148438 	 -59.373893737792968750
19638.281250 	 -59.503223419189453125
19724.414062 	 -60.042400360107421875
19810.546875 	 -60.020229339599609375
19896.679688 	 -59.805816650390625000
19982.812500 	 -59.829387664794921875
20068.945312 	 -60.067314147949218750
20155.078125 	 -60.078022003173828125
20241.210938 	 -60.072532653808593750
20327.343750 	 -60.098430633544921875
20413.476562 	 -60.095100402832031250
20499.609375 	 -60.085964202880859375
20585.742188 	 -60.083034515380859375
20671.875000 	 -60.099956512451171875
20758.007812 	 -60.119812011718750000
20844.140625 	 -60.117931365966796875
20930.273438 	 -60.121540069580078125
21016.406250 	 -60.099487304687500000
21102.539062 	 -60.105228424072265625
21188.671875 	 -60.113105773925781250
21274.804688 	 -60.117870330810546875
21360.937500 	 -60.138290405273437500
21447.070312 	 -60.125221252441406250
21533.203125 	 -60.148529052734375000
21619.335938 	 -60.147224426269531250
21705.468750 	 -60.139854431152343750
21791.601562 	 -60.135204315185546875
21877.734375 	 -60.139774322509765625
21963.867188 	 -60.138092041015625000
